Nombre,año de salida,valoracion,precio
juegogenerico,11/11/2020,98,1000
New York Rat Simulator,13/11/2021,81,1500
Inside the Backrooms,20/06/2022,85,2400
Among Us,16/11/2018,92,2400
Evil God Korone,07/11/2021,97,2800
Doki Doki Literature Club Plus30/06/2021,30/06/2021,96,6400
Golf With Your Friends,19/05/2020,90,7500
Dinkum,14/07/2022,95,7700
Untitled Goose Game,23/09/2020,95,7700
Little Misfortune,18/09/2019,89,7700
My Friend Pedro,20/06/2019,96,7700
Disneyland Adventures,14/09/2018,91,7700
Just Shapes & Beats,31/05/2018,97,7700
Raft,20/06/2022,93,9500
Slay the Spire,23/01/2019,97,9500
House Flipper,17/05/2018,93,9500
NEBULUS: Fleet Command,11/02/2022,94,9900
Cult of the Lamb,11/08/2022,90,11000
Kenshi,06/12/2018,94,11500
Stray,19/07/2022,97,12500
Blasphemous,10/09/2019,90,12990
DOOM Eternal,20/03/2020,93,13100
Unpacking,02/11/2021,92,13300
RimWorld,17/10/2018,98,13500
Insurgency Sandstorm,12/12/2018,86,18990
Ghostrunner,27/10/2020,92,19900
Halo: The Master Chief Collect03/12/2019,03/12/2019,91,19990
Detroit Become Human,18/06/2020,93,20889
Dark Souls: Remastered,23/05/2018,87,24000
Ready or Not,17/12/2021,92,29900
Mortal Kombat 11,23/04/2019,87,29900
Farming Simulator,22/11/2021,89,31900
STAR WARS Jedi Fallen Order,15/11/2019,90,31900
Resident Evil Village,07/05/2021,96,32200
FINAL FANTASY XII THE ZODIAC A01/02/2018,01/02/2018,89,33300
The Crew 2,28/06/2018,83,34900
Back 4 Blood,12/10/2021,64,37999
GhostWire: Tokyo,25/03/2022,81,38900
Marvel’s Spider-Man Remaster12/08/2022,12/08/2022,96,39500
Battlefield V,22/10/2020,70,39900
CODE VEIN,26/09/2019,86,39900
Red Dead Redemption 2,05/12/2019,88,39990
Cyberpunk 2077,10/12/2020,77,39999
GOD EATER 3,07/02/2019,82,40500
Forza Horizon 5,08/11/2021,87,43900
Tiny Tina's Wonderlands,23/06/2022,75,44900
Sekiro Shadows Die Twice,21/03/2019,94,44900
Maddeb NFL 23,18/08/2022,26,46900
PGA TOUR 2K21,21/08/2021,84,51990
Need for Speed Heat,04/06/2020,85,55900
Animal Crossing: New Horizons,20/03/2020,90,59990
